job_name                                                    ;walltime  ;nproc_io  ;nprocs    ;nnode     ;nthreads  ;nnode_fc  ;ntask_fc  ;nopmp_fc  ;nnode_io  ;ntask_io  ;nopmp_io  ;
L3_FPOF_HYD_GPLELAM_CI_OPEX                                 ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FPIN_HYD_MODEL_ARPPHYISBA                                ;        10;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
GM_FPOF_HYD_SURFLELAM                                       ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_FCTI_HYD_SL2_VFE_ARPPHYISBA_TSTDFI_FRAN                  ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL2_VFE_ARPPHYSFEX_FRAN                         ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL2_VFE_ALRPHYISBA_LACE                         ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL2_VFD_ALRPHYISBA_OLDLACE                      ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL2_VFE_ARPPHYISBA_GRANLMRT                     ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCTI_NHE_SL2_VFD_ARPPHYISBA_GRANLMRT                     ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCTI_NHQ_SL2_VFD_ARPPHYISBA_GRANLMRT                     ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMALP1300    ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCC_AROMALP1300       ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCF_AROMALP1300       ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL2_VFD_AROPHYSFEX_MAD_AROMALP1300              ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL2_VFD_AROPHYSFEX_AROMALP1300                  ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL2_VFD_AROPHYSFEX_REST_AROMALP1300             ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMADIOS_AROMALP1300 ;        30;         4;       128;         8;         8;         7;        16;         8;         1;         8;        16;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCCMADIOSH_AROMALP1300;        30;         4;       128;         8;         8;         7;        16;         8;         1;         8;        16;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMALP1300    ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_AROPHYSFEX_GWADV2_PCFMADIOS_AROMALP1300 ;        30;         4;       128;         8;         8;         7;        16;         8;         1;         8;        16;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCCMAD_AROMALP1300    ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCC_AROMALP1300       ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCF_AROMALP1300       ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCCMADIOS_AROMALP1300 ;        30;         4;       128;         8;         8;         7;        16;         8;         1;         8;        16;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCFMAD_AROMALP1300    ;        30;         0;       128;         8;         8;         8;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL2_VFD_AROPHYSFEX_GWADV2_PCFMADIOS_AROMALP1300 ;        30;         4;       128;         8;         8;         7;        16;         8;         1;         8;        16;
L3_C923_LELAM_FRANCE                                        ;        20;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LELAM_REUNION                                       ;        20;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LELAM_LACE                                          ;        20;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LALON_FRANX01                                       ;        20;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDI_LELAM_FRANCE                                        ;        10;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDI_LELAM_OC0250                                        ;       180;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LELAM_OC0250                                        ;       240;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDS_LELAM_OC0250                                        ;       180;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDC_LELAM_OC0250                                        ;        10;         0;         1;         1;         1;         1;         1;         1;         0;         0;         0;
L3_PGDI_LELAM_OC0275                                        ;       180;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LELAM_OC0275                                        ;       240;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDS_LELAM_OC0275                                        ;       180;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDC_LELAM_OC0275                                        ;        10;         0;         1;         1;         1;         1;         1;         1;         0;         0;         0;
L3_PGDI_LELAM_OC0375                                        ;       120;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_C923_LELAM_OC0375                                        ;       240;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDS_LELAM_OC0375                                        ;       120;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
L3_PGDC_LELAM_OC0375                                        ;        10;         0;         1;         1;         1;         1;         1;         1;         0;         0;         0;
L3_PGDI_LELAM_OC0500                                        ;        40;         0;         1;         1;       128;         1;         1;       128;         0;         0;         0;
